Category,query,Response,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Break Up,"Iג€™ve been seeing a guy for a few weeks, but Iג€™ve noticed some red flags that I canג€™t ignore. How do I end it before things get more serious?","""Hey, I wanted to talk to you about [Name of Guy]. I've been seeing him for a few weeks, but I've noticed some major red flags, and I don't think this is something I want to pursue any further. I think it's best we end things now before they get more serious. I know it's a bummer, but I think it's for the best. I just wanted to be honest with you about where I'm at. נ˜""",Friends RAG,4,2,3,Bella
Ending a long-term friendship,"A close friend and I have drifted apart, and I think itג€™s time to end the friendship. How can I phrase this kindly?","Hey [Friend's Name], I’ve been feeling that we’ve grown apart recently, and I think it’s natural as life takes us in different directions. It’s hard to say, but I think it might be best for both of us to let things be as they are now. I’ll always appreciate the memories we’ve made and the times we shared, and I truly wish you nothing but happiness and success in everything ahead.",GPT,4,4,5,Bella
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"
Hey [Friend's Name], I hope you’re doing well. I wanted to share something that’s been on my mind. I feel like we’ve grown apart over time, and I think it might be best for both of us to take a step back from our friendship. I appreciate the memories we’ve shared and wish you all the best moving forward. Thank you for understanding!",GPT,4,4,3,Bella
Telling a friend you don't want to go into business with them,"My friend wants me to invest in their startup, but I have reservations. How do I say no kindly?","Thanks for thinking of me for your startup investment. I've given it a lot of thought, but I don't think I'm in a position to invest right now. I really believe in you though, and I can't wait to see your company succeed!",Claude,5,5,4,Bella
Ending a long-term friendship,I need to step away from a toxic friendship. How can I do this respectfully?,"Hey, I know it's tough, but sometimes you just have to cut ties and move on. It's clear this friendship is toxic, and it's time to end it and find better people to surround yourself with. I'm here for you if you need supportג€”ending a toxic relationship is freeing, but it can be tough, so well done for recognizing it and taking steps to move on. You got this!",Friends RAG,4,2,3,Bella
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a groomsman, but Iג€™ve realized I donג€™t have the time to dedicate. How can I let my friend know kindly?","Hi mate, there's something I need to discuss with you about being a groomsman. Can we catch up soon?",Claude,4,3,3,Bella
Breaking bad news to someone whoג€™s overly enthusiastic,"A coworker is really excited about a project, but I need to tell them itג€™s not going ahead. How can I break the news without killing their enthusiasm?","Hey, I know you're super passionate about this project, and I don't want to kill your buzz, but I think we need to chat about it. I'm not sure it's going ahead as planned, and I wanted to fill you in before you heard it from anyone else. Let's talk soon and figure out a plan.",Friends RAG,5,5,5,Bella
Cancelling plans last minute,I had a family emergency come up and need to cancel plans. How do I explain this without making them feel unimportant?,"
Hey [Friend's Name], I hope you’re doing well. I wanted to let you know that I have a family emergency and, unfortunately, I need to cancel our plans. I’m really sorry about this and hope we can reschedule soon. You’re important to me, and I appreciate your understanding!",GPT,5,4,4,Bella
Service Cancellation Prompts,"Iג€™ve been using the same car mechanic for years, but I found a new shop I want to try. How can I inform them that I wonג€™t be coming back?","Hey, I wanted to let you know that I've been loyal to your shop for years, but I've recently found another place that I'd like to try out. I just wanted to say thanks for your help over the years, and let you know that I won't be coming back. I appreciate your work, but I'm ready to try something new. Hope you understand!",Friends RAG,4,4,4,Bella
Turning down a job offer or promotion,"Iג€™ve been offered a promotion, but Iג€™m not interested in the additional responsibilities. How do I turn it down gracefully?","Hey, I wanted to let you know that I've been offered a promotion, but I'm not interested in taking on those additional responsibilities right now. I wanted to turn it down gracefully, and I hope you understand. It's a great opportunity, but I don't feel ready for it, and I don't want to take on something I'm not passionate about. I hope that's okay!",Friends RAG,4,3,4,Bella
Asking a coworker to stop copying your work,Someone at work keeps taking credit for my ideas. How do I bring this up without making things awkward in the office?,"Hey, I wanted to talk to you about something that's been bothering me at work. I'm not sure if you've noticed, but I get the sense that you're taking credit for some of my ideas. I know it's an awkward conversation to have, but I wanted to bring it up directly with you before it becomes a bigger issue. I'm sure it's not your intention, but it's important to me that we both get the recognition we deserve for our contributions. Can we chat about this in person so we can clear the air?",Friends RAG,5,5,5,Bella
Addressing a friend who frequently cancels plans,"A friend often bails on plans, and I need to address it. How can I express my frustration without damaging the friendship?","Hey, I wanted to talk to you about something that's been on my mind. I've noticed that we make plans, but then they often fall through, and it's becoming a pattern. I wanted to check in and see if everything is okay? I value our friendship, and I want to make sure we're both on the same page and can support each other. Let's talk soon and figure out a way to make our plans work!",Friends RAG,4,5,5,Bella
Break Up,"Iג€™ve been in a relationship for two years, and I love him, but I feel like weג€™re going in different directions in life. He wants to settle down, and Iג€™m not ready for that. How do I express this without breaking his heart?","Hey [His Name], I want you to know how much I care about you and how much I value the time we’ve spent together. This isn’t easy to say, but I’ve been doing a lot of thinking about where we are in our lives right now. I know you’re ready to settle down, and I respect and understand that. But I’m realizing that I’m not quite in the same place yet, and I don’t want to hold you back from what you’re looking for. I wish I could be there with you, but it wouldn’t be fair to either of us if I wasn’t being honest about where I am. You deserve someone who’s on the same page, and I hope you understand where I’m coming from. I care about you so much, and I truly wish you all the best, whatever happens next.",GPT,5,5,4,Bella
Pushy Parents,"My parents think Iג€™m wasting time by traveling, but itג€™s something that makes me really happy. How do I explain that I donג€™t want to stop traveling just because they think I should be more 'practical'?","Hi Mom and Dad, I know you're worried about my travels, but exploring the world is really important to me. It's helping me grow and learn. Can we talk about why this matters so much to me?",Claude,4,4,3,Bella
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but Iג€™ve realized I need different guidance. How can I end the mentorship without causing offense?","Hey, I wanted to talk to you about something. I really appreciate all the guidance and support you've given me so far, but I've realized that I might need to explore a different path for now. I hope you understand, and I want you to know that I value our relationship and your mentorship. I just think this is what's best for me at this point. Thank you for everything.",Friends RAG,4,4,4,Bella
Asking a coworker to stop copying your work,"A colleague keeps copying my work, and itג€™s frustrating. How can I ask them to stop without creating drama?","Hey, I wanted to talk to you about something that's been bugging me. I like working with you, but it's frustrating when you copy my work. Can you please stop doing that? I don't want to create any drama, but it's important to me that we both do our own thing. Thanks, and I hope you understand.",Friends RAG,4,4,3,Bella
Disappointment Prompts,"Iג€™ve been working with a personal trainer, but I feel like Iג€™m not getting the attention I need. Heג€™s always late to our sessions and spends more time on his phone than helping me. How can I let him know that Iג€™m disappointed in the service?","Hey, I wanted to chat about our training sessions. I've been feeling a bit disappointed lately. I feel like you're not really giving me the attention I needג€”you're often late, and distracted by your phone. I wanted to let you know because I value your time and expertise, but I don't feel like I'm getting the full benefit of your training. Can we talk about this and maybe find a solution together? I appreciate your honesty and want to ensure we're both on the same page moving forward.",Friends RAG,4,5,4,Bella
Turning down a job offer or promotion,I've been offered a job but it's not the right fit. How can I politely decline without burning bridges?,"Hey, I hope you're doing well! I wanted to reach out about the job offer. I really appreciate the opportunity, but I don't think this role is the right fit for me. I don't want to turn it down without explaining, as I don't want to burn any bridges, but I also don't want to waste your time or mine by taking on something that isn't a good match. I hope you understand, and I wish you all the best in finding the perfect candidate!",Friends RAG,5,4,4,Bella
Telling a friend you don't want to go into business with them,"A friend asked me to go into business with them, but Iג€™m not interested in mixing friendship with business. How do I express this without damaging the friendship?","Hey, I wanted to chat about your business proposal. I really value our friendship, and I'm not interested in mixing business with it. I think we should keep our friendship and work lives separate. I hope you understand, and I think we can still be great friends without mixing business.",Friends RAG,3,5,4,Bella
Service Cancellation Prompts,"Iג€™ve been going to the same tailor, but I want to try a new one. Can you help me write a polite message to let them know Iג€™m switching?","Hey, I wanted to let you know that I've decided to try out a new tailor. I just wanted to say that I appreciate all the work you've done for me so far, and I'm grateful for your help. I hope you understand that I want to explore other options, and I wish you all the best. Thank you!",Friends RAG,4,3,3,Bella
Break Up,"Iג€™ve been casually dating a girl, but Iג€™ve realized sheג€™s way more serious about us than I am. How do I let her down gently?","Hi, I hope you're doing okay. There's something I wanted to talk to you about. I've really enjoyed our time together, but I think we might be on different pages about where this is going. Can we meet up to chat?",Claude,4,3,3,Bella
Pushy Parents,"My parents keep asking when Iג€™m going to 'settle down,' but thatג€™s not what I want right now. How do I explain that Iג€™m happy with my current life and not in a rush to change it?","Hey, I wanted to talk to you about something. I know you've been asking when I plan on settling down, and I want to be honest with you about where I'm at.
 
 I'm happy with my life as it is right now. I'm not in a rush to settle down, and I don't want you to worry or think that there's something wrong with that. I just wanted to let you know that I'm content with my current path, and I hope you can understand and respect that. I love you both, and I know you want what's best for me, but this is my journey, and I'm happy to take it at my own pace.",Friends RAG,5,5,5,Bella
Confronting a family member about overstepping boundaries,My parents keep pushing me to make decisions Iג€™m not comfortable with. How can I ask them to stop without creating a rift?,"Hey Mom and Dad, I really appreciate your support and guidance, but I wanted to talk about something that’s been on my mind. I feel a bit pressured by the decisions you’re encouraging me to make, and I’d like to have some space to figure things out on my own. I hope you can understand where I’m coming from!",GPT,3,3,3,Bella
Turning down a job offer or promotion,"The job offer is great, but the salary doesnג€™t meet my expectations. How can I decline it professionally?","Hey, I wanted to let you know that I'm really grateful for the job offer. It's a great opportunity, but I have to be honestג€”the salary isn't quite meeting my expectations. I don't want to seem ungrateful, but I need to respectfully decline. I hope you understand my situation. Thank you for considering me, though!",Friends RAG,4,4,4,Bella
Asking a neighbor to stop being too loud,"I have noisy neighbors, and itג€™s disrupting my work-from-home setup. How can I politely ask them to tone it down?","Hey [Neighbor's Name], I hope you’re doing well! I wanted to reach out because the noise has been a bit disruptive while I’m working from home. I’d really appreciate it if you could keep it down during work hours. Thank you for understanding!",GPT,3,4,4,Bella
Turning down a job offer or promotion,"I was offered a promotion, but Iג€™m happy with my current role. How do I decline while expressing gratitude?","I'm truly grateful for the promotion offer. After much reflection, I believe I can contribute best in my current role. Thank you for your confidence in me.",Claude,3,3,3,Bella
Cancelling plans last minute,I have to cancel plans last minute and I donג€™t want my friend to feel disrespected. How can I phrase this?,"Hey, sorry for the last-minute change of plans! I know it's not ideal, and I don't want you to feel disrespected. Something unexpected came up, and I have to cancel. I hope we can reschedule soon and catch up then. Take care!",Friends RAG,3,3,3,Bella
Telling a friend you don't want to go into business with them,"A friend asked me to join their business, but Iג€™m not interested. How can I decline without hurting their feelings?","Hey [Friend's Name], I really appreciate you thinking of me for this and believing I could be a good fit for your business. After thinking it over, I’ve realized that it’s not the right time for me to take this on. I’m so excited to see where you take this, and I’ll always be cheering you on from the sidelines! Thanks again for considering me, and I hope there are other ways I can support you along the way.",GPT,5,5,5,Bella
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Mom, Dad, I'm really grateful for the opportunity with the family business. But I've been thinking a lot about my future, and I have some different ideas. Can we sit down and talk about this?",Claude,3,2,3,Bella
Asking a neighbor to stop being too loud,"The neighborג€™s dog barks all day, and I want to ask them to address it. How can I phrase this kindly?","Hey, I know we're neighbors and all, and I want us to stay on good terms, but I have to bring something up that's been bothering me. Your dog's barking throughout the day is a bit much. I'm sure you have no idea how loud it gets when you're not homeג€”it's pretty constant. I'm kindly asking if you could do something about it. Maybe keep them inside or distract them with a fun toy? I'd really appreciate it. Thanks!",Friends RAG,4,4,4,Bella
Rejecting someone who confessed their feelings,"A close friend has feelings for me, but I only see them as a friend. How can I phrase this without making things awkward?","Hey [Friend's Name], I really appreciate you sharing your feelings with me—I know that takes a lot of courage. I’ve thought about it, and I want to be honest with you: I see you as a really close friend, and that’s how I feel most comfortable. I care about our friendship a lot and hope this doesn’t make things weird between us. I completely understand if you need some space, and I’m here whenever you’re ready to talk.",GPT,5,5,5,Bella
Addressing someone whoג€™s not paying you back,A coworker borrowed money but hasnג€™t made any effort to repay. How can I bring it up kindly without creating office drama?,"Hi, I hope this isn't awkward, but I wanted to check in about the money you borrowed. Do you have a plan for repaying it?",Claude,5,3,3,Bella
Telling a friend you don't want to go into business with them,"I value our friendship, but I donג€™t feel comfortable joining a business venture together. How can I phrase this kindly?","
Hey [Friend's Name], I hope you’re doing well! I wanted to talk about the business idea you mentioned. I truly value our friendship, but I don’t feel comfortable joining a business venture together. I hope you can understand where I’m coming from, and I’m looking forward to continuing to support each other in other ways!",GPT,4,3,3,Bella
Break Up,"Iג€™ve been in a relationship for 8 months, and while heג€™s been great, I feel like Iג€™m not ready to settle down. How do I tell him this without hurting his feelings?","Hey, I wanted to talk to you about something. I'm so grateful for the last eight months with you, and I do care about you, but I need to be honest: I'm not ready to settle down yet. I hope you can understand where I'm coming from, and that we can figure this out together without hurting each other's feelings.",Friends RAG,4,3,3,Bella
Asking a neighbor to stop being too loud,I need to ask my neighbors to tone down their noise during quiet hours. How can I phrase this kindly?,"Hey neighbors, I hope you're having a good evening. I wanted to reach out about noise levels during quiet hours. It's been a bit loud lately and it's affecting my sleep. Could we chat about finding a balance that works for everyone?",Claude,4,4,3,Bella
Break Up,"Iג€™ve been with my partner for 5 years, and weג€™ve grown comfortable, but I donג€™t feel passionate anymore. How do I break up without making them feel like itג€™s their fault?","Hey, I hope you're doing alright. There's something important I need to discuss with you. Our relationship has meant a lot to me, but I feel like things have changed. Can we meet up to talk about where we're at?",Claude,4,2,3,Bella
Addressing someone whoג€™s not paying you back,"I loaned money to a friend, and they keep avoiding repayment. How can I bring this up without making things uncomfortable?","Hey, I know we agreed on the loan, and I really appreciate your trust in lending me that money. I wanted to check in and see how you feel about the repayment because I'm ready to sort it out, and I don't want there to be any awkwardness between us. Let's chat and get this figured out together.",Friends RAG,4,2,4,Bella
Asking someone to stop oversharing personal details,"Someone I know keeps oversharing, and I want to set boundaries. How can I say this without hurting their feelings?","Hi, I hope you're doing okay. There's something I wanted to talk about. I really value our relationship, but I feel like I need some boundaries when it comes to personal information. Can we chat about this?",Claude,5,2,3,Bella
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hey, there's something important I need to discuss with you about our friendship. Can we find time to talk?",Claude,4,2,2,Bella
Service Cancellation Prompts,I want to switch my cleaning service because I found a more affordable option. How do I tell the current cleaning lady she won't need to come anymore?,"Hey, I wanted to let you know that I've found a different cleaning service that's a better fit for my budget. I just wanted to say thank you for your help so far, and I wish you all the best. I hope you understand.",Friends RAG,4,3,3,Bella
