Category,query,Response ,MODEL, Human-like rate,Response Relevance - rate,Clarity & coherence,Annotator
Confronting someone about a hygiene issue,"A family member has a hygiene issue, and I want to tell them without causing embarrassment. How should I phrase this?","Hey [Family Member's Name], I hope you don’t mind me bringing this up, but I wanted to talk to you about something that’s a bit sensitive. I’ve noticed there’s been a hygiene issue lately, and I thought it might be helpful to mention it. I care about you and just want to make sure you’re feeling your best. Thanks for understanding!",GPT,3,4,5,Tomer
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but it comes with obligations Iג€™m not comfortable with. How can I decline politely?","Hi there, I really appreciate your generous offer. After giving it some thought, I don't feel comfortable accepting due to the obligations that come with it. I hope you can understand. Thank you again for thinking of me.",Claude,4,3,4,Tomer
Ending a long-term friendship,I feel our friendship has become one-sided and draining. How can I explain this and respectfully end it?,There's something I need to talk to you about regarding our friendship. It's been feeling a bit one-sided lately. Can we meet up to discuss this?,Claude,2,2,3,Tomer
Break Up,"Iג€™ve been with my partner for 5 years, and weג€™ve grown comfortable, but I donג€™t feel passionate anymore. How do I break up without making them feel like itג€™s their fault?","Hey, I wanted to talk to you about us. I care about you a lot, and I've enjoyed our time together these past 5 years, but I can't ignore the fact that I don't feel the same passion anymore. It's not your fault, and it's not something I can just fix. I think it's time we ended things, and I wanted to do it in a way that respects our history. I hope we can both find happiness again, even if it's not with each other.",Friends RAG,4,4,5,Tomer
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,"Hi, I hope you're doing okay. There's something important I need to discuss with you about our friendship. Can we meet up to talk?",Claude,3,3,3,Tomer
Telling a roommate they need to move out,I want to move in with someone else and need my current roommate to leave. How do I tell them this politely?,"Hey [Roommate's Name], I hope you’re doing well. I wanted to talk to you about our living situation. I’ve decided that I’d like to move in with someone else, so I think it’s best if we look for different arrangements. I really appreciate your understanding, and I'm here to help with the transition if you need it.",GPT,4,3,4,Tomer
Addressing a friend who frequently cancels plans,"A friend often bails on plans, and I need to address it. How can I express my frustration without damaging the friendship?","Hey [Friend's Name], I wanted to talk to you about something that’s been on my mind. I really enjoy spending time with you, and I always look forward to our plans, but I’ve noticed that they’ve been getting canceled pretty often. I understand that things come up, but it’s been a little disappointing for me when it happens. I just wanted to share how I’m feeling because your friendship means a lot to me, and I’d love to find a way that works better for both of us. Thanks for hearing me out!",GPT,3,4,5,Tomer
Disappointment Prompts,"Iג€™ve been working with a personal trainer, but I feel like Iג€™m not getting the attention I need. Heג€™s always late to our sessions and spends more time on his phone than helping me. How can I let him know that Iג€™m disappointed in the service?","i [Trainer's Name], I hope you’re doing well. I wanted to talk about my experience during our training sessions. I’ve noticed that there have been several instances where you’ve arrived late, and I feel like I’m not getting the attention I need during our workouts. It’s important for me to make the most of our time together, and I hope we can focus on improving that moving forward. I appreciate your help and expertise, and I’m looking forward to working together more effectively!",GPT,2,4,4,Tomer
Service Cancellation Prompts,"Iג€™ve been getting my hair done by the same stylist for years, but I want to try someone new. Can you help me write a polite message to cancel my appointments?","Hey, I wanted to let you know that I need to cancel my upcoming appointments with you. I've decided to try something new and go in a different direction with my hair. I hope you understand, and I want to thank you for all the great styles and sexy hair-tousles over the years! I'll be sure to recommend you to anyone I know who's looking for a stylist. Cheers!",Friends RAG,5,4,5,Tomer
Asking a coworker to stop copying your work,Someone at work keeps taking credit for my ideas. How do I bring this up without making things awkward in the office?,"
Hey [Colleague's Name], I hope you’re doing well. I wanted to discuss something that’s been on my mind. I’ve noticed that some of my ideas seem to be getting credited to you, and I’d really appreciate it if we could ensure that we’re both recognized for our contributions. Thanks for understanding!",GPT,2,4,4,Tomer
Break Up,"Iג€™ve been in a relationship for two years, and I love him, but I feel like weג€™re going in different directions in life. He wants to settle down, and Iג€™m not ready for that. How do I express this without breaking his heart?","Hi, I hope you're having a good day. There's something I need to discuss with you. I care about you deeply, but I'm realizing we're at different stages in life. Can we find time to talk about this in person?",Claude,3,3,3,Tomer
Asking a coworker to stop copying your work,"A coworker keeps copying my work, and itג€™s making me uncomfortable. How can I ask them to stop without creating drama?","Hey, I wanted to talk to you about something that's been bothering me. I've noticed that you've been using some of my ideas and work as your own, and it's making me feel uncomfortable. I know we work closely together, and I value our professional relationship, but I need you to stop. Please don't take this personally, but I need to set this boundary for myself. I hope you understand, and we can move forward without any issues.",Friends RAG,4,3,4,Tomer
Cancelling plans last minute,I double-booked and need to cancel plans last minute. How do I tell my friend without sounding inconsiderate?,"
Hey [Friend's Name], I’m so sorry, but I have to cancel our plans last minute. I accidentally double-booked myself, and I feel terrible about it. I really appreciate your understanding and hope we can find another time to get together soon!",GPT,2,3,5,Tomer
Breaking bad news to someone whoג€™s overly enthusiastic,I need to tell a coworker that the project theyג€™re excited about wonג€™t go forward. How do I break the news kindly?,"Hey [Coworker's Name], I wanted to give you a heads-up about the project. I know you’ve put a lot of energy and excitement into it, which I really appreciate. Unfortunately, after some discussions, it looks like we won’t be able to move forward with it right now. I’m really sorry—it’s definitely disappointing. Your ideas were great, and I hope we can find a way to use them in future projects. Let’s stay in touch about other opportunities that might come up!",GPT,2,4,5,Tomer
Break Up,"Iג€™ve been with my girlfriend for 2 years, but Iג€™ve developed feelings for someone else. I donג€™t want to hurt her, but I know I have to end it. Can you help me with a breakup text?","Hey, I hope you're doing okay. There's something important I need to talk to you about. Our relationship has meant a lot to me, but I've been struggling with some complicated feelings. Can we meet up to talk in person?",Claude,4,3,3,Tomer
Service Cancellation Prompts,"Iג€™ve been using the same caterer for my events, but Iג€™ve decided to try someone new. How do I politely cancel their services?","
Hi [Caterer's Name], I hope you’re doing well! I wanted to let you know that I’ve decided to try a new caterer for my events, so I won’t be needing your services anymore. I really appreciate all the wonderful meals you've provided. Thank you!",GPT,2,3,5,Tomer
Telling a friend you don't want to go into business with them,"A friend asked me to join their business, but Iג€™m not interested. How can I decline without hurting their feelings?","I'm really flattered you thought of me for your business venture. After thinking it over, I don't think I'm in a position to join right now. I hope you understand, and I'm looking forward to seeing your business grow!",Claude,3,3,4,Tomer
Informing someone that their gift wasnג€™t well-received,"A friend gave me a gift, but itג€™s something I donג€™t like. How can I tell them kindly without hurting their feelings?","Hey, I wanted to talk to you about the gift you gave me. I really appreciate the thought, but it's not really my taste. I feel bad because I know you put thought into it, and I don't want to hurt your feelings. I thought maybe you could send my mom a thank-you note instead, so you know that I received something but just didn't like it. I hope you understand.",Friends RAG,3,2,2,Tomer
Telling a roommate they need to move out,"My roommate and I have different lifestyles, and I want to ask them to move out. How can I phrase this without making it uncomfortable?","Hey [Roommate's Name], I’ve been thinking about our living situation, and I feel like our different lifestyles are making it a bit challenging for both of us to feel fully comfortable at home. I think it might be best if we consider finding separate living arrangements that suit each of us better. I want to make this as smooth as possible, so let’s talk about a timeline that works for you. I really appreciate your understanding, and I’m happy to help with the transition in any way I can.",GPT,3,4,4,Tomer
Ending a long-term friendship,A friendship Iג€™ve had for years no longer feels healthy. How can I end it without causing unnecessary pain?,There's something important I need to discuss with you about our friendship. Can we find a time to talk privately?,Claude,3,3,3,Tomer
Ending a collaboration thatג€™s not working,I need to end a partnership thatג€™s not working. How can I phrase this without causing conflict?,"Hi [Partner's Name], I’ve been reflecting on our partnership and the direction we’ve been taking, and I think it might be best for us to go our separate ways on this. It’s not an easy decision, and I really appreciate the effort and time you’ve put in. I believe that working independently could be more effective for both of us moving forward. I hope you understand, and I’d like to keep things positive between us. I’m grateful for what we’ve accomplished together, and I wish you all the best with your next steps.",GPT,3,3,5,Tomer
Confronting a family member about overstepping boundaries,My parents keep pushing me to make decisions Iג€™m not comfortable with. How can I ask them to stop without creating a rift?,"Mom and Dad, I'd like to talk about some of the decisions I'm making. Can we set aside some time to chat?",Claude,3,3,3,Tomer
Asking someone to stop oversharing personal details,A friend is constantly telling me personal details that I donג€™t want to hear. How can I ask them to tone it down kindly?,"Hey, I value our friendship and I appreciate that you trust me, but sometimes the level of personal detail you share is a bit overwhelming. Can we chat about finding a balance that works for both of us?",Claude,4,4,5,Tomer
Cancelling plans last minute,I had a family emergency come up and need to cancel plans. How do I explain this without making them feel unimportant?,"Hi, I'm so sorry but I have to cancel our plans. There's a family emergency I need to deal with. Can we reschedule? You're important to me and I hate to do this.",Claude,4,5,5,Tomer
Asking a coworker to stop copying your work,Someone at work is using my ideas without permission. How do I address this without causing office tension?,"Hey [Coworker's Name], I’ve noticed that some of the ideas I’ve shared recently have come up in your work, and I just wanted to chat about it. I’m always open to collaborating and sharing thoughts, but I’d appreciate it if we could make sure that any ideas I contribute are acknowledged. I think it would be great if we can find ways to build on each other’s work while giving credit where it’s due. Let me know if you’d like to discuss how we can work together on this!",GPT,3,4,4,Tomer
Telling someone you no longer want to be their bridesmaid/groomsman,"I agreed to be a groomsman, but Iג€™ve realized I donג€™t have the time to dedicate. How can I let my friend know kindly?","Hey, I wanted to talk to you about the groomsman thing. I said yes without really thinking it through, and I'm realizing I don't have the time to commit to it properly. I know it's important to you, and I want to support you, but I'm worried I won't be able to give it the time and energy it deserves. I hope you understand. Let's chat about it soon?",Friends RAG,4,4,5,Tomer
Ending a mentorship or advising relationship,"Iג€™ve been working with a mentor, but their advice is no longer relevant. How can I end the relationship without causing offense?","Hey, I wanted to touch base and let you know that I've been feeling like the mentorship isn't quite working for me anymore. Your advice has been amazing, but I feel like I've reached a point where I need to explore a different path. I hope you understand, and I really appreciate all your help so far. I wanted to be honest and let you know where my head's at. Thanks for everything!",Friends RAG,4,4,5,Tomer
Pushy Parents,"My parents are pushing me to take over the family business, but I have other dreams. How do I tell them I donג€™t want to without letting them down?","Hey, I know this is tough, but it's important to be honest with them. Something like, ""Hey Mom and Dad, I know this might be a disappointment, but I wanted to talk to you about my future plans. I have different dreams and I don't see myself taking over the family business. I hope you can understand and support me in this."" It's direct but respectful, and it leaves room for further discussion. Good luck!",Friends RAG,4,4,5,Tomer
Service Cancellation Prompts,"Iג€™ve been working with the same graphic designer, but I want to hire someone new for my next project. How do I inform them politely?","Hey, I wanted to let you know that I've been thinking about our working relationship, and I've decided that I'd like to explore other options for my next project. I value your work and our time together, but I think it's time for me to try something new. I hope you understand, and I wish you all the best.",Friends RAG,3,3,4,Tomer
Asking someone to stop oversharing personal details,"A friend tells me too much about their personal life, and itג€™s overwhelming. How do I ask them to tone it down kindly?","Hey, I wanted to chat about something. I really value our friendship, and I'm glad you feel comfortable sharing your life with me, but sometimes, I feel a bit overwhelmed by the details. I want to be here for you, but I'd appreciate it if we could maybe focus on the bigger picture sometimes? I hope that's okay. I don't want to shut you out, just trying to find a balance that works for us both.",Friends RAG,4,5,5,Tomer
Turning down a family or cultural expectation,"Iג€™m being pushed into a cultural expectation, but itג€™s not what I want for myself. How do I say this without disrespecting my family?","Hey, I know these conversations are never easy, especially with family. I'd suggest something like:
 
 ""Hey, I know this might be hard to hear, but I wanted to talk to you about the cultural expectations we're facing. I respect our family's traditions, but I need you to understand that I have my own path and dreams that might not align with what's expected of me. I hope you can respect my choices and support me in this.""
 
 Remember, it's important to stand up for yourself and your dreams. You can do it!",Friends RAG,3,4,5,Tomer
Ending a collaboration thatג€™s not working,"A partnership Iג€™m involved in isnג€™t working, and I want to step away. How can I express this professionally?","Hi, I'd like to discuss our partnership. I feel it's not working out as we'd anticipated. Can we find time to talk about next steps?",Claude,3,3,3,Tomer
Telling a friend you don't want to go into business with them,"My friend wants me to invest in their startup, but I have reservations. How do I say no kindly?","Hey, I wanted to talk to you about your startup. I'm honored that you thought of me, but I'm not comfortable with the idea of investing. It's not a reflection on you or your business ideaג€”it's just that I have some reservations, and I need to respect my own boundaries. I hope you understand, and I wish you all the best with it.",Friends RAG,3,4,5,Tomer
Break Up,I recently realized my girlfriend and I are not compatible in terms of values. Could you help me end the relationship politely?,"Hi, I hope you're having a good day. There's something important I need to discuss with you. I've been doing some thinking about our relationship and our values. Can we meet up to talk?",Claude,3,3,3,Tomer
Rejecting a gift or favor that has strings attached,"Someone offered me a gift, but I feel it comes with obligations. How can I turn it down politely?","
Hey [Name], thank you so much for your generous offer! I truly appreciate it, but I think I need to decline. I’m not in a position to accept something that might come with obligations. Thank you for understanding!",GPT,2,3,3,Tomer
Ending a long-term friendship,Iג€™ve outgrown a friendship and donג€™t feel connected anymore. How can I step away without making it too harsh?,"Hey [Friend's Name], I hope you’re doing well. I’ve been reflecting on our friendship, and I feel like we’ve grown apart over time. I think it’s best for both of us to take a step back. I appreciate all the memories we've shared. Thank you for understanding!",GPT,2,3,5,Tomer
Disappointment Prompts,"I recently stayed at a hotel, and while the location was great, the service was really disappointing. The room wasnג€™t cleaned properly, the staff was rude when I asked for fresh towels, and the breakfast buffet was cold and unappetizing. How can I phrase a complaint to the hotel?","Hi [Hotel Name], I hope this message finds you well. I recently stayed at your hotel on [date], and while I appreciated the great location, I wanted to share my disappointment with the service. The room wasn’t cleaned properly, and when I requested fresh towels, the staff was quite rude. Additionally, the breakfast buffet was cold and unappetizing. I believe in the quality of your hotel and hope my feedback can help improve the experience for future guests. Thank you for your attention to these matters.",GPT,4,4,4,Tomer
Telling a friend you don't want to go into business with them,I donג€™t want to go into business with my friend. How can I express this without causing tension?,"Hey [Friend's Name], I really appreciate you thinking of me for this and considering me as a potential partner. After giving it a lot of thought, I think it’s best if I don’t get involved in a business venture right now. I value our friendship so much, and I wouldn’t want anything to complicate that. I’m excited to see what you achieve with this, and I’ll always be rooting for your success!",GPT,3,4,5,Tomer
Service Cancellation Prompts,"Iג€™ve had the same piano teacher for years, but Iג€™ve decided to take a break from lessons. How can I politely let them know?","Hey, I wanted to let you know that I've decided to take a break from piano lessons for a while. I've enjoyed my time learning with you, and I appreciate all your help and support. I just wanted to give you a heads-up so that you can plan accordingly. Thank you for everything, and I hope we can keep in touch!",Friends RAG,3,4,5,Tomer
Disappointment Prompts,"I recently went to a new doctor, and the experience was awful. He didnג€™t take the time to listen to my concerns and seemed rushed during the entire appointment. How can I express my dissatisfaction to the clinic?","Hello, I'm writing regarding my recent appointment. I felt rushed and my concerns weren't fully addressed. I'd like to discuss how we can improve communication in future appointments.",Claude,3,2,2,Tomer
Confronting someone about a hygiene issue,A friend has a hygiene problem thatג€™s making me uncomfortable. How can I bring it up without hurting their feelings?,"Hey, I wanted to talk to you about something sensitive. I feel like your recent posts/messages have become a bit intense for me. It's not cool to be getting these messages/see these posts. I know you probably don't mean any harm, but it's making me uncomfortable. Can we talk about this in person sometime? I value our friendship, and I don't want this to come between us.",Friends RAG,4,1,1,Tomer
